(ad,1057) (75,1057)
(4af,575) (257,575)
(f2f,1a0b) (44f,1a0b)
(187,353) (4f,353)
(61,1d9) (d,1d9)
(d21,114d) (2a1,114d)
(53f,15e9) (593,15e9)
(1c75,1d5f) (93d,1d5f)
(a53,102d) (1fb,102d)
(2ef,4df) (1e7,4df)
(761,301f) (761,301f)
(23b,bb1) (2b3,bb1)
(5f,227) (bf,227)
(11d,54d) (c5,54d)
(8d,187) (5,187)
(b19,eb3) (29,eb3)
(565,21a3) (3d,21a3)
(61,365) (c1,365)
(2195,25e5) (79d,25e5)
(1333,1691) (83b,1691)
(1453,165b) (95b,165b)
(c25,f3d) (639,f3d)
(301,545) (15d,545)
(13b,54d) (ef,54d)
(227,323) (137,323)
(181d,321b) (665,321b)
(e7d,1a0b) (c15,1a0b)
(1d1,29b) (101,29b)
(1ad,289) (a9,289)
(4c3,5bd) (2b,5bd)
(17b7,301f) (107,301f)
(48d,73d) (2c5,73d)
(69b,1705) (263,1705)
(191,22f) (89,22f)
(11b,f77) (6a3,f77)
(347,22b1) (103,22b1)
(2a5,2339) (e81,2339)
(19ab,1ccd) (d03,1ccd)
(653,301d) (165b,301d)
(3f3,1765) (43b,1765)
(371,4f9) (59,4f9)
(111,499) (1f1,499)
(16d,22f) (1d,22f)
(ec9,1963) (479,1963)
(523,673) (133,673)
(2fb,437) (bb,437)
(8b,1d9) (8b,1d9)
(1f9,2165) (109,2165)
(29f,7e5) (a7,7e5)
(4c1,b41) (29,b41)
(195,1ed) (7d,1ed)
(725,8d7) (1fd,8d7)
(223,323) (11b,323)
(e81,2ad1) (b81,2ad1)
(6a1,913) (1b1,913)
(93,439) (b3,439)
(df,2bf) (f7,2bf)
(12b,2339) (3b,2339)
(1d9,1403) (671,1403)
(33,2b9) (fb,2b9)
(c7,b6b) (7f,b6b)
(115,ca7) (5ad,ca7)
(3b3,40d) (1bb,40d)
(5b,2ff) (11b,2ff)
(3af,6d7) (22f,6d7)
(98b,1e83) (193,1e83)
(12b,30d) (c7,30d)
(3e3,637) (9b,637)
(37d,53f) (155,53f)
(665,ff7) (73d,ff7)
(10fd,19f9) (95,19f9)
(1715,2645) (d3d,2645)
(153,3eb) (db,3eb)
(2c5,4d9) (d,4d9)
(665,2b01) (a0d,2b01)
(2f,263) (2f,263)
(33b,4c3) (53,4c3)
(a3f,131b) (43f,131b)
(b11,125b) (589,125b)
(1c45,1d45) (5a1,1d45)
(26f,367) (ef,367)
(fc1,11cf) (481,11cf)
(653,775) (27,775)
(8af,973) (11f,973)
(1403,1627) (633,1627)
(13,86f) (3bb,86f)
(5b,bb) (33,bb)
(1b65,1ccd) (4d,1ccd)
(6d,13c7) (51d,13c7)
(cb,46d) (197,46d)
(97,143) (67,143)
(97d,1e83) (665,1e83)
(1e1,29b) (49,29b)
(a1,20f) (a1,20f)
(8a1,b6b) (3c1,b6b)
(13af,1961) (74f,1961)
(aa9,d09) (5bd,d09)
(3fd,53b) (cd,53b)
(537,22b1) (257,22b1)
(1317,18af) (747,18af)
(2c9,42b) (179,42b)
(aed,ef3) (25,ef3)
(1687,21a3) (3c7,21a3)
(6ad,eb3) (365,eb3)
(1af,143f) (74f,143f)
(19c5,1dad) (6b1,1dad)
(64f,733) (16f,733)
(327,6af) (1e7,6af)
(20f5,288b) (bdd,288b)
(54b,104b) (7a3,104b)
(235,553) (10d,553)
(a13,1f15) (63b,1f15)
(85f,1535) (61f,1535)
(cbf,12fb) (4df,12fb)
(6af,845) (10f,845)
(d85,131b) (ad,131b)
(13d,275) (95,275)
(1fd,53b) (65,53b)
(823,a8d) (14b,a8d)
(143b,380f) (1393,380f)
(8a5,a27) (24d,a27)
(1367,1553) (9a7,1553)
(113,179) (b,179)
(703,8f3) (35b,8f3)
(3ef,1165) (62f,1165)
(193,47b) (43,47b)
(225,787) (1ad,787)
(167f,19f9) (2cf,19f9)
(1ed,a27) (5,a27)
(6a1,abb) (521,abb)
(b0d,ccd) (445,ccd)
(84b,188b) (1d3,188b)
(83,1a0b) (34b,1a0b)
(2fb,403) (d3,403)
(551,ac7) (a1,ac7)
(113,227) (b,227)
(75,3af) (ad,3af)
(30b,589) (173,589)
(865,9cb) (9d,9cb)
(65f,13c7) (38f,13c7)
(12d,24d) (3d,24d)
(c0b,1c91) (377,1c91)
(10f,2bf) (37,2bf)
(d,1ed) (45,1ed)
(301,3ef) (f1,3ef)
(467,23cf) (ee7,23cf)
(b89,f61) (3a9,f61)
(311,367) (71,367)
(1253,3319) (cbf,3319)
(9ad,d33) (125,d33)
(123,1cdb) (72b,1cdb)
(199,77f) (379,77f)
(8df,b5f) (33f,b5f)
(6ad,f3d) (135,f3d)
(41b,1c01) (5fb,1c01)
(83,319) (b,319)
(227,275) (17,275)
(b03,1a6f) (563,1a6f)
(31d,56f) (22d,56f)
(209,29b) (c9,29b)
(155,671) (1fd,671)
(88f,c4d) (523,c4d)
(a4d,2c95) (305,2c95)
(176b,2b0d) (cdf,2b0d)
(10e5,1961) (bed,1961)
(126b,25e5) (383,25e5)
(aa5,1055) (5ad,1055)
(a13,ef3) (51b,ef3)
(6b,f7) (6b,f7)
(3df,4f7) (1ff,4f7)
(3b9,42b) (89,42b)
(9d,46d) (d,46d)
(18df,1aed) (c1f,1aed)
(df,b69) (37f,b69)
(cd3,ddf) (2b3,ddf)
(17,289) (e3,289)
(ca5,18af) (96d,18af)
(59,fd) (59,fd)
(27fd,321b) (625,321b)
(5,dd) (4d,dd)
(b6b,e0f) (56b,e0f)
(3e9,4af) (29,4af)
(265,2db) (cd,2db)
(1abf,213d) (f97,213d)
(8e9,1535) (439,1535)
(2ff,535) (17,535)
(321,5e9) (e1,5e9)
(5c9,ff7) (551,ff7)
(2db,4f7) (173,4f7)
(135b,14bf) (4b3,14bf)
(101,1e3b) (161,1e3b)
(95,6d7) (2bd,6d7)
(177d,191f) (b1d,191f)
(2f5,365) (175,365)
(b5,3d3) (8d,3d3)
(1303,2bdb) (59b,2bdb)
(87b,131b) (2c3,131b)
(cdd,1ae7) (935,1ae7)
(4f3,b33) (193,b33)
(8fb,ca1) (13,ca1)
(211,275) (31,275)
(50d,22b1) (b29,22b1)
(12f7,1a4b) (247,1a4b)
(f35,191f) (25d,191f)
(2f5,ad5) (319,ad5)
(f1,1d9) (3d,1d9)
(427,4f9) (13,4f9)
(427,2105) (1003,2105)
(7f,365) (2b,365)
(1e1,29f) (79,29f)
(369,661) (9d,661)
(4f,263) (7,263)
(1481,213d) (221,213d)
(10a5,1961) (aed,1961)
(20b,ef3) (703,ef3)
(d45,105d) (6c5,105d)
(1a3,c3b) (b3,c3b)
(7bf,1a0b) (5f,1a0b)
(94f,ca7) (7f,ca7)
(499,1fc9) (4d5,1fc9)
(779,1fc9) (431,1fc9)
(335,47b) (dd,47b)
(c11,14ad) (5,14ad)
(997,c37) (4bf,c37)
(a9,5b1) (31,5b1)
(1ab,275) (103,275)
(1ac9,1e83) (959,1e83)
(175,263) (25,263)
(85,a8d) (36d,a8d)
(29d,499) (1d5,499)
(617,1c87) (377,1c87)
(9fb,17ab) (533,17ab)
(22f1,2731) (959,2731)
(2c3,3b5) (b,3b5)
(1c1,df1) (55d,df1)
(bad,1747) (9cd,1747)
(e23,19f9) (9eb,19f9)
(ffd,1dad) (8d1,1dad)
(68f,125b) (14f,125b)
(134f,1483) (70f,1483)
(109,673) (61,673)
(4db,10d3) (6d3,10d3)
(31,8f) (31,8f)
(79d,12d3) (185,12d3)
(245,941) (215,941)
(499,967) (2a1,967)
(157,1af5) (523,1af5)
(1c81,2c27) (11a1,2c27)
(487,bbf) (577,bbf)
(5f9,1811) (239,1811)
(65,ac7) (3ad,ac7)
(239,391) (31,391)
(1a9f,22df) (bf,22df)
(277,73d) (307,73d)
(153,3d3) (17b,3d3)
(447,7ff) (157,7ff)
(78b,9cb) (12b,9cb)
(1c1,56f) (11,56f)
(b5,56f) (fd,56f)
(a63,d33) (26b,d33)
(cb3,17ab) (6fb,17ab)
(1a87,1f73) (7f7,1f73)
(439,102d) (529,102d)
(7db,913) (123,913)
(33d,8f3) (385,8f3)
(3c5,f1d) (5ed,f1d)
(16f,4af) (67,4af)
(3cb,781) (e3,781)
(bd1,24a3) (151,24a3)
(449,6d7) (299,6d7)
(211,73d) (31,73d)
(95d,126d) (15,126d)
(2ed,b33) (10d,b33)
(63d,2b0d) (12fd,2b0d)
(615,eb3) (ad,eb3)
(12a9,2d8f) (1081,2d8f)
(d1,155) (59,155)
(142f,1963) (10f,1963)
(943,a0d) (2b3,a0d)
(48b,733) (1a3,733)
(1af,719) (d7,719)
(515,c79) (1cd,c79)
(33b,1055) (533,1055)
(e2f,28a3) (f1f,28a3)
(1f7,bb1) (287,bb1)
(541,165b) (181,165b)
(49d,eb3) (5dd,eb3)
(433,a15) (29b,a15)
(44f,4f9) (24b,4f9)
(4b1,a0d) (2d1,a0d)
(87b,e99) (83,e99)
(6fd,96d) (271,96d)
(7,323) (67,323)
(47f,afd) (17f,afd)
(543,1705) (4c7,1705)
(2433,2a37) (12c3,2a37)
(b17,15e9) (883,15e9)
(49d,56b) (125,56b)
(38b,b33) (11b,b33)
(42f,787) (24f,787)
(101,4f9) (f5,4f9)
(737,3319) (a7,3319)
(3d1,887) (359,887)
(521,c59) (2e1,c59)
(12b,96d) (137,96d)
(119,3515) (c41,3515)
(e63,2039) (9cb,2039)
(28d,f1d) (725,f1d)
(15b,1c91) (b93,1c91)
(855,eb3) (9d,eb3)
(3b3,42b) (1bb,42b)
(865,973) (38d,973)
(66b,725) (11f,725)
(49d,4f9) (1fd,4f9)
(31f,13a5) (90f,13a5)
(bd1,e05) (1b1,e05)
(c1,29b) (e9,29b)
(150d,1f73) (745,1f73)
(a9f,2165) (5d7,2165)
(1ba9,1cdb) (679,1cdb)
(cf1,e0f) (589,e0f)
(95f,fc1) (2f,fc1)
(1eb,c59) (293,c59)
(2ff,96d) (113,96d)
(93b,f61) (3b3,f61)
(46d,535) (179,535)
(3cd,87d) (165,87d)
(b9b,12fb) (13,12fb)
(5d9,775) (269,775)
(3ad,1295) (2f9,1295)
(52f,ef3) (19f,ef3)
(4f5,128b) (1d,128b)
(2b7,53f) (a7,53f)
(1849,199d) (5b9,199d)
(445,105d) (7e1,105d)
(1b5,637) (ad,637)
(2f9,991) (335,991)
(128f,25e5) (128f,25e5)
(3d9,719) (115,719)
(457,53f) (247,53f)
(169,1d9) (79,1d9)
(1b5,105b) (4e5,105b)
(22c3,288b) (ceb,288b)
(91d,e05) (1b5,e05)
(a39,12fb) (8e9,12fb)
(153d,2039) (d15,2039)
(f1,112f) (7e1,112f)
(38b,4f9) (1ab,4f9)
(161,763) (269,763)
(3fb,ee3) (593,ee3)
(557,81d) (143,81d)
(195d,2339) (6b5,2339)
(4ff,104b) (2bf,104b)
(2ed,7a9) (5,7a9)
(a8d,2339) (f79,2339)
(1f7,c3b) (a7,c3b)
(187,5e9) (2b7,5e9)
(c9d,d4b) (405,d4b)
(1175,128b) (4cd,128b)
(377,521) (17,521)
(12bf,1ccd) (95f,1ccd)
(c1,37d) (85,37d)
(2bf,42b) (7f,42b)
(161,d33) (101,d33)
(3ef,4d9) (8f,4d9)
(129b,14bf) (473,14bf)
(16d,781) (365,781)
(12f9,14bf) (1e9,14bf)
(481,c43) (241,c43)
(a27,e41) (117,e41)
(39,13f) (71,13f)
(fb,80b) (213,80b)
(2b7f,2d8f) (5b7,2d8f)
(a3,3515) (faf,3515)
(295,4db) (3d,4db)
(4bd,1a0b) (9d5,1a0b)
(6d,289) (95,289)
(4d5,112f) (125,112f)
(83,12b) (83,12b)
(239,553) (f9,553)
(185,42b) (10d,42b)
(17c9,2339) (aa9,2339)
(131f,301f) (155f,301f)
(ef,2db) (ef,2db)
(3fd,2bdb) (cd,2bdb)
(d7,22f) (8f,22f)
(3a1,485) (1c1,485)
(329,941) (e9,941)
(329,42b) (59,42b)
(cdd,188b) (c5,188b)
(9ad,2437) (125,2437)
(bc9,1c87) (419,1c87)
(1073,15e9) (74f,15e9)
(1e5,331) (35,331)
(2b,1a4b) (4c3,1a4b)
(c7,575) (13,575)
(877,21a3) (d9f,21a3)
(1af,46d) (47,46d)
(1f99,23cf) (649,23cf)
(aeb,f77) (12b,f77)
(409,2f3b) (319,2f3b)
(131,1b5) (a1,1b5)
(18af,2707) (7cf,2707)
(1aa7,1dad) (57,1dad)
(1ab,171d) (a03,171d)
(7eb,1555) (7f7,1555)
(3ad,57b) (65,57b)
(169,cdd) (559,cdd)
(1783,197f) (adb,197f)
(5b1,fc1) (5b1,fc1)
(1837,1f2b) (31f,1f2b)
(283,abb) (1ab,abb)
(6cb,973) (243,973)
(35,205) (d9,205)
(ab,1c3) (83,1c3)
(339,1a0b) (3a9,1a0b)
(d31,2105) (cdd,2105)
(e53,1aed) (c5b,1aed)
(847,191f) (3af,191f)
(31,1ba9) (8d1,1ba9)
(23fb,2ad1) (133,2ad1)
(72d,a0d) (481,a0d)
(38f,797) (47,797)
(b05,19f9) (30d,19f9)
(3d,15b9) (63d,15b9)
(14d5,1e83) (37d,1e83)
(869,1691) (929,1691)
(409,1f57) (3f9,1f57)
(2221,25e5) (c01,25e5)
(1f3,499) (167,499)
(38f,c3b) (bf,c3b)
(3c1,46d) (79,46d)
(247,781) (177,781)
(15df,17ab) (10f,17ab)
(89b,c79) (25f,c79)
(70d,1687) (575,1687)
(c47,fc1) (a7,fc1)
(583,86f) (3eb,86f)
(47,2e1) (fb,2e1)
(3eb,c59) (583,c59)
(437,2437) (1007,2437)
(118b,1f57) (263,1f57)
(469,637) (211,637)
(653,6cb) (b3,6cb)
(689,bb1) (179,bb1)
(161,1175) (101,1175)
(1f7,629) (b3,629)
(335,487) (dd,487)
(923,105b) (6b3,105b)
(3fd,66b) (12d,66b)
(bb,1ed) (73,1ed)
(1bb,545) (15b,545)
(3e5,96d) (3d9,96d)
(51b,673) (3b,673)
(743,104b) (5ab,104b)
(44b,887) (13,887)
(17,197) (2f,197)
(f25,1cdb) (34d,1cdb)
(57,13f) (67,13f)
(b3,187) (3b,187)
(12f5,15e9) (719,15e9)
(583,c59) (3eb,c59)
(b9,637) (1a9,637)
(2cf,ad5) (40f,ad5)
(62f,733) (8f,733)
(3ef,583) (10f,583)
(120d,174b) (4a5,174b)
(cdd,14bf) (695,14bf)
(cc9,1321) (781,1321)
(517,105b) (25f,105b)
(179,205) (85,205)
(a03,2339) (3c7,2339)
(2d7,383) (df,383)
(71,1c3) (b1,1c3)
(20f,2e1) (107,2e1)
(ab,f3d) (177,f3d)
(703,1055) (4ab,1055)
(61,1ed) (61,1ed)
(1f,a8d) (43f,a8d)
(1a9,227) (b9,227)
(8ff,a0d) (2f,a0d)
(3eb,8d1) (223,8d1)
(b45,1483) (6ad,1483)
(8b,319) (103,319)
(cb1,1483) (1d1,1483)
(2c9,4f9) (5,4f9)
(a3,1c3) (1b,1c3)
(155,431) (10d,431)
(89,1ed) (79,1ed)
(4a9,5e9) (219,5e9)
(2b1,40d) (d1,40d)
(13,143) (5b,143)
(18e3,2165) (7eb,2165)
(b15,1dad) (e6d,1dad)
(65,2c9) (119,2c9)
(1027,14ad) (973,14ad)
(29f,56b) (1df,56b)
(349,b6b) (259,b6b)
(77,dd) (47,dd)
(60d,725) (33d,725)
(107,1f57) (e17,1f57)
(3d,f7) (55,f7)
(25d,637) (5,637)
(c89,105b) (3a1,105b)
(175,1ae7) (45d,1ae7)
(11f,197) (8f,197)
(13,331) (c7,331)
(a5b,b6b) (443,b6b)
(17b,319) (13,319)
(1eef,2b01) (b3f,2b01)
(136d,301f) (1265,301f)
(2047,2a37) (7f,2a37)
(b7d,19f9) (295,19f9)
(26d,2b9) (65,2b9)
(751,8b7) (1b1,8b7)
(24f,3d3) (10f,3d3)
(b93,1fc9) (887,1fc9)
(1fd,77f) (185,77f)
(27f,9bb) (1a7,9bb)
(101,68f) (281,68f)
(553,2357) (4f3,2357)
(3d7,104b) (767,104b)
(b2d,bb1) (425,bb1)
(2837,2d8f) (11ff,2d8f)
(eb3,2165) (61f,2165)
(203,629) (257,629)
(1a3,69b) (9b,69b)
(85d,107f) (65,107f)
(471,80b) (251,80b)
(259,8d7) (349,8d7)
(485,96d) (281,96d)
(103,29f) (8b,29f)
(295,367) (85,367)
(979,1751) (81d,1751)
(3dd,775) (c5,775)
(ad,143) (5,143)
(aeb,104b) (203,104b)
(9f5,e41) (1d,e41)
(5c5,763) (265,763)
(3d,227) (9d,227)
(185,22f) (95,22f)
(101,143) (41,143)
(1af,2bf) (d7,2bf)
(199,3eb) (149,3eb)
(1b5,24d) (ad,24d)
(41,2ff) (101,2ff)
(935,9af) (7d,9af)
(75b,1a6f) (15b,1a6f)
(3b,ca7) (383,ca7)
(425,9e9) (2e1,9e9)
(2bd,4f7) (65,4f7)
(33,289) (5b,289)
(5fb,6e3) (1c3,6e3)
(58f,14e9) (2af,14e9)
(59,331) (11,331)
(b33,bb1) (1bb,bb1)
(2ad,673) (b5,673)
(441,ad5) (31,ad5)
(61,499) (99,499)
(116f,1af5) (167,1af5)
(331,b6b) (199,b6b)
(47,24d) (fb,24d)
(b7,fd) (6b,fd)
(107,7e5) (bf,7e5)
(475,cf5) (12d,cf5)
(19f,671) (25f,671)
(71,1d9) (c5,1d9)
(f01,2d77) (241,2d77)
(109,461) (1c9,461)
(77b,24a3) (813,24a3)
(515,126d) (8bd,126d)
(1a57,1c91) (4a3,1c91)
(c1d,11cf) (575,11cf)
(a67,afd) (d7,afd)
(1bd,22f) (cd,22f)
(36d,188b) (78d,188b)
(283,bed) (2d7,bed)
(15ad,1e43) (455,1e43)
(22d3,2533) (b4b,2533)
(1f7,b41) (2f3,b41)
(62d,967) (205,967)
(93b,14e9) (8b3,14e9)
(11f,29f) (17,29f)
(16f3,288b) (a7b,288b)
(25f,1d45) (853,1d45)
(4cd,e0f) (10d,e0f)
(47,197) (47,197)
(c5f,1b77) (83f,1b77)
(fd9,165b) (8e9,165b)
(95,c79) (455,c79)
(22d,4f9) (131,4f9)
(251,294d) (1331,294d)
(65b,7a9) (313,7a9)
(84d,11cf) (85,11cf)
(241,f71) (379,f71)
(2dd,5dd) (181,5dd)
(10bb,1f2b) (3b3,1f2b)
(12a9,174b) (a9,174b)
(9d,8d1) (355,8d1)
(665,10d3) (7d,10d3)
(13f3,1535) (2fb,1535)
(d5b,e05) (1d3,e05)
(57,fd) (2b,fd)
(77,1e1) (a7,1e1)
(bdd,22b1) (b6d,22b1)
(291,4a5) (1b1,4a5)
(3c1,4c3) (19,4c3)
(1bf,5e9) (3f,5e9)
(37d,d45) (28d,d45)
(5a1,c79) (169,c79)
(151,787) (111,787)
(81,22b1) (d29,22b1)
(7cf,b41) (29b,b41)
(697,17ab) (7,17ab)
(1373,1751) (54b,1751)
(7fd,967) (365,967)
(37,1e1) (37,1e1)
(1fd,431) (65,431)
(595,197f) (685,197f)
(739,a0d) (301,a0d)
(115,31f) (5d,31f)
(233,8d7) (24b,8d7)
(2f9,6e3) (209,6e3)
(7f1,1e43) (449,1e43)
(1cd,589) (95,589)
(b,1d9) (bf,1d9)
(f9b,1627) (323,1627)
(1df,53b) (17,53b)
(3d5,775) (2fd,775)
(ad9,bab) (4a9,bab)
(191,2db) (131,2db)
(5bd,d33) (365,d33)
(301,775) (175,775)
(129d,1fc9) (39d,1fc9)
(793,13c7) (5b3,13c7)
(557,fc1) (4c7,fc1)
(37,967) (a7,967)
(123,a15) (30b,a15)
(347,6b5) (2f7,6b5)
(fd,3b5) (b5,3b5)
(aa3,1af5) (a73,1af5)
(331,9e9) (145,9e9)
(191,6e3) (281,6e3)
(12e3,1ba9) (cb,1ba9)
(1ab,3ef) (14b,3ef)
(33d,3d3) (45,3d3)
(3a9,5b1) (1b1,5b1)
(308f,3613) (c77,3613)
(8bd,e05) (215,e05)
(595,6af) (215,6af)
(77b,1c87) (43,1c87)
(24d,499) (9,499)
(2f9,437) (161,437)
(d1,331) (125,331)
(989,15e9) (899,15e9)
(191,2b1) (131,2b1)
(7bb,8d7) (b3,8d7)
(139,37d) (175,37d)
(18d7,1aed) (ca7,1aed)
(155,457) (105,457)
(ef3,102d) (2fb,102d)
(413,4c3) (22b,4c3)
(b5,3b5) (fd,3b5)
(adb,1687) (8b3,1687)
(29f,5bd) (29f,5bd)
(e03,f89) (2ab,f89)
(f7,575) (193,575)
(2f,d1) (17,d1)
(2bf,96d) (10f,96d)
(25d,c43) (5,c43)
(1265,13a5) (93d,13a5)
(6a3,bbf) (8b,bbf)
(ca7,1c91) (d5b,1c91)
(1069,14bf) (8f9,14bf)
(fb,e05) (b3,e05)
(157,bbf) (1e7,bbf)
(1195,191f) (1d5,191f)
(53b,1165) (793,1165)
(a93,105b) (1c3,105b)
(1df,30b) (ef,30b)
(b5,263) (3d,263)
(161b,380f) (d33,380f)
(e95,23cf) (111d,23cf)
(4d5,1e43) (bc5,1e43)
(1d89,3613) (17a1,3613)
(228b,288b) (c23,288b)
(391,845) (331,845)
(6f5,8d7) (2bd,8d7)
(f03,1747) (51b,1747)
(6f5,a0d) (dd,a0d)
(223,967) (293,967)
(d3,1d93) (41b,1d93)
(1759,1d93) (649,1d93)
(be9,1235) (1c9,1235)
(e9,365) (4d,365)
(d5,87d) (3bd,87d)
(9,1747) (509,1747)
(1897,1c01) (1f3,1c01)
(7b5,1175) (31d,1175)
(239,485) (1a9,485)
(1f,bb) (1f,bb)
(737,14e9) (b7,14e9)
(e8d,1c87) (c05,1c87)
(46f,ddf) (7f,ddf)
(dcd,15e9) (11,15e9)
(1ac1,22b1) (15d,22b1)
(98b,bbf) (223,bbf)
(9c7,380f) (397,380f)
(d7,8b7) (a7,8b7)
(47,d1) (47,d1)
(1d21,22df) (a61,22df)
(2135,2357) (575,2357)
(3af,6af) (1f,6af)
(1a1,18a9) (8c1,18a9)
(a4d,2749) (d85,2749)
(57d,2ad1) (7d5,2ad1)
(245,ddf) (635,ddf)
(751,231d) (471,231d)
(127,ddf) (517,ddf)
(4a5,66b) (15d,66b)
(c37,10d3) (757,10d3)
(3c1,d4b) (411,d4b)
(247,86f) (337,86f)
(67,1e1) (97,1e1)
(134f,1e3b) (eb7,1e3b)
(aa9,ccd) (259,ccd)
(73b,1c03) (a5b,1c03)
(95,1b5) (65,1b5)
(38f,c79) (83,c79)
(763,213d) (763,213d)
(4dd,601) (45,601)
(8f9,15e9) (8a5,15e9)
(21d,ccd) (575,ccd)
(33b,c43) (533,c43)
(27d,439) (c5,439)
(23,4c3) (20b,4c3)
(ae5,131b) (58d,131b)
(15ad,199d) (575,199d)
(7f,57b) (157,57b)
(b3,cf5) (59f,cf5)
(1cd,7e5) (1cd,7e5)
(2f,3ef) (ef,3ef)
(625,a3f) (9d,a3f)
(e7,1c3) (47,1c3)
(439,107f) (529,107f)
(158b,2b0d) (b0b,2b0d)
(e7b,2357) (4eb,2357)
(7f7,18af) (6b7,18af)
(169,29f) (f1,29f)
(4a5,671) (12d,671)
(99d,bff) (1ed,bff)
(1ff,1175) (5bf,1175)
(275,575) (275,575)
(c3,29b) (8b,29b)
(305,53f) (22d,53f)
(101,331) (161,331)
(1bf5,1f15) (9dd,1f15)
(70f,1457) (1cf,1457)
(33d,5ed) (1d5,5ed)
(173b,1961) (433,1961)
(75d,b41) (19,b41)
(313,ca7) (3eb,ca7)
(ce3,e99) (12b,e99)
(86d,b5f) (445,b5f)
(ed,29b) (d,29b)
